io.github.adnanomerovic:toaster-example-library;io.github.adnanomerovic;toaster-example-library
io.gravitee.gateway.services:gravitee-gateway-services-heartbeat;io.gravitee.gateway.services;gravitee-gateway-services-heartbeat
io.gravitee.gateway.services:gravitee-gateway-services-sync;io.gravitee.gateway.services;gravitee-gateway-services-sync
io.gravitee.gateway.standalone:gravitee-gateway-standalone-container;io.gravitee.gateway.standalone;gravitee-gateway-standalone-container
io.gravitee.gateway:gravitee-gateway-env;io.gravitee.gateway;gravitee-gateway-env
org.odftoolkit:simple-odf;org.odftoolkit;simple-odf
tz.co.asoft:color-core-linuxarm64;tz.co.asoft;color-core-linuxarm64
tz.co.asoft:color-core-linuxarm32hfp;tz.co.asoft;color-core-linuxarm32hfp
uk.ac.ebi.ddi:ddi-service-db;uk.ac.ebi.ddi;ddi-service-db
com.lihaoyi:ammonite-shell_2.12.6;com.lihaoyi;ammonite-shell_2.12.6
com.lihaoyi:ammonite-shell_2.12.4;com.lihaoyi;ammonite-shell_2.12.4
com.lihaoyi:ammonite-shell_2.12.3;com.lihaoyi;ammonite-shell_2.12.3
com.lihaoyi:ammonite-shell_2.12.2;com.lihaoyi;ammonite-shell_2.12.2
com.lihaoyi:ammonite-shell_2.12.1;com.lihaoyi;ammonite-shell_2.12.1
com.lihaoyi:ammonite-shell_2.13.0;com.lihaoyi;ammonite-shell_2.13.0
com.lihaoyi:ammonite-shell_2.12.15;com.lihaoyi;ammonite-shell_2.12.15
com.lihaoyi:ammonite-ops_2.12;com.lihaoyi;ammonite-ops_2.12
com.lihaoyi:ammonite-shell_2.12.14;com.lihaoyi;ammonite-shell_2.12.14
com.lihaoyi:ammonite-shell_2.12.13;com.lihaoyi;ammonite-shell_2.12.13
com.lihaoyi:ammonite-shell_2.12.12;com.lihaoyi;ammonite-shell_2.12.12
com.lihaoyi:ammonite-cross-23-shell_2.13.6;com.lihaoyi;ammonite-cross-23-shell_2.13.6
com.lihaoyi:ammonite-cross-23-ops_2.13;com.lihaoyi;ammonite-cross-23-ops_2.13
com.lihaoyi:ammonite-shell_2.13.5;com.lihaoyi;ammonite-shell_2.13.5
com.lihaoyi:ammonite-shell_2.13.4;com.lihaoyi;ammonite-shell_2.13.4
com.lihaoyi:ammonite-shell_2.13.3;com.lihaoyi;ammonite-shell_2.13.3
com.lihaoyi:ammonite-shell_2.12.11;com.lihaoyi;ammonite-shell_2.12.11
com.lihaoyi:ammonite-shell_2.13.2;com.lihaoyi;ammonite-shell_2.13.2
com.lihaoyi:ammonite-shell_2.12.10;com.lihaoyi;ammonite-shell_2.12.10
com.lihaoyi:ammonite-shell_2.13.1;com.lihaoyi;ammonite-shell_2.13.1
com.lihaoyi:ammonite-shell_2.12.9;com.lihaoyi;ammonite-shell_2.12.9
com.lihaoyi:ammonite-shell_2.12.8;com.lihaoyi;ammonite-shell_2.12.8
com.lihaoyi:ammonite-shell_2.12.7;com.lihaoyi;ammonite-shell_2.12.7
com.lihaoyi:ammonite-shell_2.13.7;com.lihaoyi;ammonite-shell_2.13.7
com.lihaoyi:ammonite-ops_2.13;com.lihaoyi;ammonite-ops_2.13
com.lihaoyi:ammonite-shell_2.13.6;com.lihaoyi;ammonite-shell_2.13.6
com.barrybecker4:bb4-optimization;com.barrybecker4;bb4-optimization
com.barrybecker4:bb4-expression;com.barrybecker4;bb4-expression
com.github.rkonovalov:comparator;com.github.rkonovalov;comparator
com.myodov.unicherrygarden:ethereum_rpc_connector_2.13;com.myodov.unicherrygarden;ethereum_rpc_connector_2.13
com.barrybecker4:bb4-ui;com.barrybecker4;bb4-ui
com.barrybecker4:bb4-sound;com.barrybecker4;bb4-sound
com.innovenso.townplanner:innovenso-townplanner-io-latex;com.innovenso.townplanner;innovenso-townplanner-io-latex
com.barrybecker4:bb4-A-star;com.barrybecker4;bb4-A-star
dev.kske:event-bus-proc;dev.kske;event-bus-proc
dev.kske:event-bus-core;dev.kske;event-bus-core
dev.kske:event-bus;dev.kske;event-bus
fr.brouillard.oss:jgitver-maven-plugin;fr.brouillard.oss;jgitver-maven-plugin
com.github.rmannibucau:hierarchy-extension;com.github.rmannibucau;hierarchy-extension
uk.ac.ebi.ddi:ddi-ebe-ws-dao;uk.ac.ebi.ddi;ddi-ebe-ws-dao
de.quantummaid.injectmaid:core;de.quantummaid.injectmaid;core
de.quantummaid.injectmaid:injectmaid-bom;de.quantummaid.injectmaid;injectmaid-bom
de.quantummaid.injectmaid:injectmaid-parent;de.quantummaid.injectmaid;injectmaid-parent
de.quantummaid.injectmaid.integrations:injectmaid-transparentscopeentrance;de.quantummaid.injectmaid.integrations;injectmaid-transparentscopeentrance
de.quantummaid.injectmaid.integrations:integrations-parent;de.quantummaid.injectmaid.integrations;integrations-parent
org.exist-db:exist-saxon-regex;org.exist-db;exist-saxon-regex
io.github.thingsdb:thingsdb;io.github.thingsdb;thingsdb
com.innovenso.townplanner:innovenso-townplanner-io-confluence;com.innovenso.townplanner;innovenso-townplanner-io-confluence
com.wgtwo.api.grpc:voicemail;com.wgtwo.api.grpc;voicemail
com.workflowfm:proter_2.12;com.workflowfm;proter_2.12
com.workflowfm:proter-akka_2.12;com.workflowfm;proter-akka_2.12
com.wgtwo.api.grpc:sms;com.wgtwo.api.grpc;sms
com.wgtwo.api.grpc:mms;com.wgtwo.api.grpc;mms
com.wgtwo.api.grpc:data;com.wgtwo.api.grpc;data
com.wgtwo.api.grpc:callforward;com.wgtwo.api.grpc;callforward
com.wgtwo.api.grpc:calling;com.wgtwo.api.grpc;calling
com.wgtwo.api.grpc:utils;com.wgtwo.api.grpc;utils
com.wgtwo.api.grpc.utils:phonenumbers;com.wgtwo.api.grpc.utils;phonenumbers
com.adobe.granite:com.adobe.granite.rest.api;com.adobe.granite;com.adobe.granite.rest.api
ch.epfl.scala:scalafix-cli_2.13.7;ch.epfl.scala;scalafix-cli_2.13.7
ch.epfl.scala:scalafix-reflect_2.13.7;ch.epfl.scala;scalafix-reflect_2.13.7
ch.epfl.scala:scalafix-testkit_2.13.7;ch.epfl.scala;scalafix-testkit_2.13.7
com.innovenso.townplanner:innovenso-townplanner-io-blender;com.innovenso.townplanner;innovenso-townplanner-io-blender
info.cepheus:cepheus_axon_extension;info.cepheus;cepheus_axon_extension
com.quadible:librarian;com.quadible;librarian
com.myadsget:mediation-fyber;com.myadsget;mediation-fyber
org.solidcoding:solidcoding-domain-primitives;org.solidcoding;solidcoding-domain-primitives
io.github.Onionsss:http;io.github.Onionsss;http
com.changdaowan:lancet-plugin-asm6;com.changdaowan;lancet-plugin-asm6
org.apache.sling:org.apache.sling.installer.provider.file;org.apache.sling;org.apache.sling.installer.provider.file
me.nikhilchaudhari:userequest;me.nikhilchaudhari;userequest
com.changdaowan:lancet-weaver-asm6;com.changdaowan;lancet-weaver-asm6
com.adobe.cq.screens:parent;com.adobe.cq.screens;parent
com.adobe.cq.screens:com.adobe.cq.screens;com.adobe.cq.screens;com.adobe.cq.screens
com.coveo:fmt-maven-plugin;com.coveo;fmt-maven-plugin
com.changdaowan:lancet-base-asm6;com.changdaowan;lancet-base-asm6
com.thoughtworks.dsl:keywords-foryield_3;com.thoughtworks.dsl;keywords-foryield_3
com.thoughtworks.dsl:scalaz_3;com.thoughtworks.dsl;scalaz_3
com.thoughtworks.dsl:keywords-catch_3;com.thoughtworks.dsl;keywords-catch_3
com.thoughtworks.dsl:keywords-nullsafe_3;com.thoughtworks.dsl;keywords-nullsafe_3
io.github.key-del-jeeinho:cacophony-spring-boot-starter;io.github.key-del-jeeinho;cacophony-spring-boot-starter
io.github.key-del-jeeinho:cacophony-lib;io.github.key-del-jeeinho;cacophony-lib
io.github.sirll:lib_szg_http;io.github.sirll;lib_szg_http
com.aliyun:cmpinc20210113;com.aliyun;cmpinc20210113
me.zalo:iBeaconSDK;me.zalo;iBeaconSDK
me.zalo:lib-core;me.zalo;lib-core
io.github.Onionsss:toast;io.github.Onionsss;toast
com.gitee.liuzhihai520:xutils;com.gitee.liuzhihai520;xutils
org.jboss.spec.jakarta.xml.soap:jboss-saaj-api_2.0_spec;org.jboss.spec.jakarta.xml.soap;jboss-saaj-api_2.0_spec
io.github.sunshine001:consumer;io.github.sunshine001;consumer
com.skelterlabs:aware-sdk;com.skelterlabs;aware-sdk
de.lolhens:munit-tagless-final_2.12;de.lolhens;munit-tagless-final_2.12
de.lolhens:munit-tagless-final_sjs1_2.12;de.lolhens;munit-tagless-final_sjs1_2.12
de.lolhens:munit-tagless-final_sjs1_2.13;de.lolhens;munit-tagless-final_sjs1_2.13
de.lolhens:munit-tagless-final_sjs1_3;de.lolhens;munit-tagless-final_sjs1_3
de.lolhens:munit-tagless-final_2.13;de.lolhens;munit-tagless-final_2.13
de.lolhens:munit-tagless-final_3;de.lolhens;munit-tagless-final_3
de.uni-mannheim.informatik.dws:alcomo;de.uni-mannheim.informatik.dws;alcomo
de.garrus.maven:minecraft-server-plugin;de.garrus.maven;minecraft-server-plugin
pl.grizzlysoftware:dotykacka-java-api-v2-client;pl.grizzlysoftware;dotykacka-java-api-v2-client
com.graphql-java-generator:graphql-java-runtime;com.graphql-java-generator;graphql-java-runtime
com.github.goodforgod:avro-json-optional-decoder;com.github.goodforgod;avro-json-optional-decoder
com.liferay:com.liferay.translation.google.cloud.translator;com.liferay;com.liferay.translation.google.cloud.translator
com.liferay:com.liferay.portal.template.soy.renderer.impl;com.liferay;com.liferay.portal.template.soy.renderer.impl
io.github.sumedhe:mysdk;io.github.sumedhe;mysdk
com.innovenso.townplanner:innovenso-townplanner-io-excel;com.innovenso.townplanner;innovenso-townplanner-io-excel
com.innovenso.townplanner:innovenso-townplanner-io-archimate;com.innovenso.townplanner;innovenso-townplanner-io-archimate
ai.libs:jaicore-search;ai.libs;jaicore-search
ai.libs:jaicore-processes;ai.libs;jaicore-processes
ai.libs:jaicore-planning;ai.libs;jaicore-planning
ai.libs:jaicore-ml-weka;ai.libs;jaicore-ml-weka
ai.libs:jaicore-ml-meka;ai.libs;jaicore-ml-meka
ai.libs:jaicore-ml;ai.libs;jaicore-ml
ai.libs:jaicore-math;ai.libs;jaicore-math
ai.libs:jaicore-logic;ai.libs;jaicore-logic
ai.libs:jaicore-experiments;ai.libs;jaicore-experiments
ai.libs:jaicore-ea;ai.libs;jaicore-ea
ai.libs:jaicore-components;ai.libs;jaicore-components
ai.libs:jaicore-basic;ai.libs;jaicore-basic
ai.libs:jaicore-algorithminspector;ai.libs;jaicore-algorithminspector
ai.libs:mlplan-weka;ai.libs;mlplan-weka
ai.libs:mlplan-sklearn;ai.libs;mlplan-sklearn
ai.libs:mlplan-meka;ai.libs;mlplan-meka
ai.libs:mlplan-gui;ai.libs;mlplan-gui
ai.libs:mlplan-full;ai.libs;mlplan-full
ai.libs:mlplan-ext-reduction;ai.libs;mlplan-ext-reduction
ai.libs:mlplan-ext-metalearning;ai.libs;mlplan-ext-metalearning
ai.libs:mlplan-ext-bigdata;ai.libs;mlplan-ext-bigdata
ai.libs:mlplan-core;ai.libs;mlplan-core
ai.libs:hasco-core;ai.libs;hasco-core
com.innovenso.townplanner:innovenso-townplanner-persistence-aws;com.innovenso.townplanner;innovenso-townplanner-persistence-aws
com.thoughtworks.dsl:keywords-await_sjs1_2.11;com.thoughtworks.dsl;keywords-await_sjs1_2.11
com.thoughtworks.dsl:keywords-flatmap_sjs1_2.11;com.thoughtworks.dsl;keywords-flatmap_sjs1_2.11
com.thoughtworks.dsl:compilerplugins-reseteverywhere_2.11;com.thoughtworks.dsl;compilerplugins-reseteverywhere_2.11
com.thoughtworks.dsl:keywords-each_sjs1_2.11;com.thoughtworks.dsl;keywords-each_sjs1_2.11
com.thoughtworks.dsl:keywords-put_sjs1_2.11;com.thoughtworks.dsl;keywords-put_sjs1_2.11
com.thoughtworks.dsl:keywords-nonesafe_2.11;com.thoughtworks.dsl;keywords-nonesafe_2.11
com.thoughtworks.dsl:keywords-put_2.11;com.thoughtworks.dsl;keywords-put_2.11
com.thoughtworks.dsl:keywords-yield_sjs1_2.11;com.thoughtworks.dsl;keywords-yield_sjs1_2.11
com.thoughtworks.dsl:dsl_sjs1_2.11;com.thoughtworks.dsl;dsl_sjs1_2.11
com.thoughtworks.dsl:keywords-fork_2.11;com.thoughtworks.dsl;keywords-fork_2.11
com.thoughtworks.dsl:keywords-yield_2.11;com.thoughtworks.dsl;keywords-yield_2.11
com.thoughtworks.dsl:comprehension_2.11;com.thoughtworks.dsl;comprehension_2.11
com.thoughtworks.dsl:keywords-await_2.11;com.thoughtworks.dsl;keywords-await_2.11
com.thoughtworks.dsl:keywords-get_2.11;com.thoughtworks.dsl;keywords-get_2.11
com.thoughtworks.dsl:keywords-get_sjs1_2.11;com.thoughtworks.dsl;keywords-get_sjs1_2.11
com.thoughtworks.dsl:keywords-map_2.11;com.thoughtworks.dsl;keywords-map_2.11
com.thoughtworks.dsl:keywords-withfilter_2.11;com.thoughtworks.dsl;keywords-withfilter_2.11
com.thoughtworks.dsl:compilerplugins-bangnotation_2.11;com.thoughtworks.dsl;compilerplugins-bangnotation_2.11
com.thoughtworks.dsl:keywords-catch_2.11;com.thoughtworks.dsl;keywords-catch_2.11
com.thoughtworks.dsl:keywords-nonesafe_sjs1_2.11;com.thoughtworks.dsl;keywords-nonesafe_sjs1_2.11
com.thoughtworks.dsl:keywords-using_sjs1_2.11;com.thoughtworks.dsl;keywords-using_sjs1_2.11
com.thoughtworks.dsl:keywords-asynchronousio_2.11;com.thoughtworks.dsl;keywords-asynchronousio_2.11
com.thoughtworks.dsl:keywords-continue_sjs1_2.11;com.thoughtworks.dsl;keywords-continue_sjs1_2.11
com.thoughtworks.dsl:keywords-using_2.11;com.thoughtworks.dsl;keywords-using_2.11
com.thoughtworks.dsl:domains-task_sjs1_2.11;com.thoughtworks.dsl;domains-task_sjs1_2.11
com.thoughtworks.dsl:keywords-foreach_sjs1_2.11;com.thoughtworks.dsl;keywords-foreach_sjs1_2.11
com.thoughtworks.dsl:keywords-monadic_sjs1_2.11;com.thoughtworks.dsl;keywords-monadic_sjs1_2.11
com.thoughtworks.dsl:domains-scalaz_sjs1_2.11;com.thoughtworks.dsl;domains-scalaz_sjs1_2.11
com.thoughtworks.dsl:keywords-foreach_2.11;com.thoughtworks.dsl;keywords-foreach_2.11
com.thoughtworks.dsl:keywords-monadic_2.11;com.thoughtworks.dsl;keywords-monadic_2.11
com.thoughtworks.dsl:keywords-nullsafe_2.11;com.thoughtworks.dsl;keywords-nullsafe_2.11
com.thoughtworks.dsl:keywords-asynchronousio_sjs1_2.11;com.thoughtworks.dsl;keywords-asynchronousio_sjs1_2.11
com.thoughtworks.dsl:keywords-catch_sjs1_2.11;com.thoughtworks.dsl;keywords-catch_sjs1_2.11
com.thoughtworks.dsl:keywords-return_sjs1_2.11;com.thoughtworks.dsl;keywords-return_sjs1_2.11
com.thoughtworks.dsl:keywords-flatmap_2.11;com.thoughtworks.dsl;keywords-flatmap_2.11
com.thoughtworks.dsl:keywords-nullsafe_sjs1_2.11;com.thoughtworks.dsl;keywords-nullsafe_sjs1_2.11
com.thoughtworks.dsl:keywords-shift_sjs1_2.11;com.thoughtworks.dsl;keywords-shift_sjs1_2.11
com.thoughtworks.dsl:comprehension_sjs1_2.11;com.thoughtworks.dsl;comprehension_sjs1_2.11
com.thoughtworks.dsl:keywords-continue_2.11;com.thoughtworks.dsl;keywords-continue_2.11
com.thoughtworks.dsl:keywords-map_sjs1_2.11;com.thoughtworks.dsl;keywords-map_sjs1_2.11
com.thoughtworks.dsl:keywords-withfilter_sjs1_2.11;com.thoughtworks.dsl;keywords-withfilter_sjs1_2.11
com.thoughtworks.dsl:domains-scalaz_2.11;com.thoughtworks.dsl;domains-scalaz_2.11
com.thoughtworks.dsl:keywords-return_2.11;com.thoughtworks.dsl;keywords-return_2.11
com.thoughtworks.dsl:dsl_2.11;com.thoughtworks.dsl;dsl_2.11
com.thoughtworks.dsl:keywords-each_2.11;com.thoughtworks.dsl;keywords-each_2.11
com.thoughtworks.dsl:keywords-shift_2.11;com.thoughtworks.dsl;keywords-shift_2.11
com.thoughtworks.dsl:domains-task_2.11;com.thoughtworks.dsl;domains-task_2.11
com.thoughtworks.dsl:keywords-fork_sjs1_2.11;com.thoughtworks.dsl;keywords-fork_sjs1_2.11
com.thoughtworks.dsl:domains-scalaz_sjs0.6_2.11;com.thoughtworks.dsl;domains-scalaz_sjs0.6_2.11
com.thoughtworks.dsl:keywords-continue_sjs0.6_2.11;com.thoughtworks.dsl;keywords-continue_sjs0.6_2.11
com.thoughtworks.dsl:keywords-using_sjs0.6_2.11;com.thoughtworks.dsl;keywords-using_sjs0.6_2.11
com.thoughtworks.dsl:domains-task_sjs0.6_2.11;com.thoughtworks.dsl;domains-task_sjs0.6_2.11
com.thoughtworks.dsl:keywords-each_sjs0.6_2.11;com.thoughtworks.dsl;keywords-each_sjs0.6_2.11
com.thoughtworks.dsl:keywords-withfilter_sjs0.6_2.11;com.thoughtworks.dsl;keywords-withfilter_sjs0.6_2.11
com.thoughtworks.dsl:comprehension_sjs0.6_2.11;com.thoughtworks.dsl;comprehension_sjs0.6_2.11
com.thoughtworks.dsl:dsl_sjs0.6_2.11;com.thoughtworks.dsl;dsl_sjs0.6_2.11
com.thoughtworks.dsl:keywords-foreach_sjs0.6_2.11;com.thoughtworks.dsl;keywords-foreach_sjs0.6_2.11
com.thoughtworks.dsl:keywords-await_sjs0.6_2.11;com.thoughtworks.dsl;keywords-await_sjs0.6_2.11
com.thoughtworks.dsl:keywords-flatmap_sjs0.6_2.11;com.thoughtworks.dsl;keywords-flatmap_sjs0.6_2.11
com.thoughtworks.dsl:keywords-asynchronousio_sjs0.6_2.11;com.thoughtworks.dsl;keywords-asynchronousio_sjs0.6_2.11
com.thoughtworks.dsl:keywords-fork_sjs0.6_2.11;com.thoughtworks.dsl;keywords-fork_sjs0.6_2.11
com.thoughtworks.dsl:keywords-return_sjs0.6_2.11;com.thoughtworks.dsl;keywords-return_sjs0.6_2.11
com.thoughtworks.dsl:keywords-shift_sjs0.6_2.11;com.thoughtworks.dsl;keywords-shift_sjs0.6_2.11
com.thoughtworks.dsl:keywords-map_sjs0.6_2.11;com.thoughtworks.dsl;keywords-map_sjs0.6_2.11
com.thoughtworks.dsl:keywords-monadic_sjs0.6_2.11;com.thoughtworks.dsl;keywords-monadic_sjs0.6_2.11
com.thoughtworks.dsl:keywords-catch_sjs0.6_2.11;com.thoughtworks.dsl;keywords-catch_sjs0.6_2.11
com.thoughtworks.dsl:keywords-put_sjs0.6_2.11;com.thoughtworks.dsl;keywords-put_sjs0.6_2.11
com.thoughtworks.dsl:keywords-yield_sjs0.6_2.11;com.thoughtworks.dsl;keywords-yield_sjs0.6_2.11
com.thoughtworks.dsl:keywords-get_sjs0.6_2.11;com.thoughtworks.dsl;keywords-get_sjs0.6_2.11
com.thoughtworks.dsl:keywords-nonesafe_sjs0.6_2.11;com.thoughtworks.dsl;keywords-nonesafe_sjs0.6_2.11
com.thoughtworks.dsl:keywords-nullsafe_sjs0.6_2.11;com.thoughtworks.dsl;keywords-nullsafe_sjs0.6_2.11
com.thoughtworks.dsl:keywords-map_sjs0.6_2.13;com.thoughtworks.dsl;keywords-map_sjs0.6_2.13
com.thoughtworks.dsl:keywords-asynchronousio_sjs0.6_2.13;com.thoughtworks.dsl;keywords-asynchronousio_sjs0.6_2.13
com.thoughtworks.dsl:keywords-await_sjs0.6_2.13;com.thoughtworks.dsl;keywords-await_sjs0.6_2.13
com.thoughtworks.dsl:keywords-nullsafe_sjs0.6_2.13;com.thoughtworks.dsl;keywords-nullsafe_sjs0.6_2.13
com.thoughtworks.dsl:keywords-yield_sjs0.6_2.13;com.thoughtworks.dsl;keywords-yield_sjs0.6_2.13
com.thoughtworks.dsl:keywords-asynchronousio_sjs0.6_2.12;com.thoughtworks.dsl;keywords-asynchronousio_sjs0.6_2.12
com.thoughtworks.dsl:keywords-catch_sjs0.6_2.12;com.thoughtworks.dsl;keywords-catch_sjs0.6_2.12
com.thoughtworks.dsl:keywords-catch_sjs0.6_2.13;com.thoughtworks.dsl;keywords-catch_sjs0.6_2.13
com.thoughtworks.dsl:keywords-continue_sjs0.6_2.12;com.thoughtworks.dsl;keywords-continue_sjs0.6_2.12
com.thoughtworks.dsl:keywords-each_sjs0.6_2.12;com.thoughtworks.dsl;keywords-each_sjs0.6_2.12
com.thoughtworks.dsl:keywords-flatmap_sjs0.6_2.13;com.thoughtworks.dsl;keywords-flatmap_sjs0.6_2.13
com.thoughtworks.dsl:keywords-foreach_sjs0.6_2.12;com.thoughtworks.dsl;keywords-foreach_sjs0.6_2.12
com.thoughtworks.dsl:keywords-get_sjs0.6_2.12;com.thoughtworks.dsl;keywords-get_sjs0.6_2.12
com.thoughtworks.dsl:keywords-monadic_sjs0.6_2.12;com.thoughtworks.dsl;keywords-monadic_sjs0.6_2.12
com.thoughtworks.dsl:keywords-nonesafe_sjs0.6_2.13;com.thoughtworks.dsl;keywords-nonesafe_sjs0.6_2.13
com.thoughtworks.dsl:keywords-put_sjs0.6_2.12;com.thoughtworks.dsl;keywords-put_sjs0.6_2.12
com.thoughtworks.dsl:keywords-return_sjs0.6_2.12;com.thoughtworks.dsl;keywords-return_sjs0.6_2.12
com.thoughtworks.dsl:keywords-shift_sjs0.6_2.12;com.thoughtworks.dsl;keywords-shift_sjs0.6_2.12
com.thoughtworks.dsl:keywords-withfilter_sjs0.6_2.12;com.thoughtworks.dsl;keywords-withfilter_sjs0.6_2.12
com.thoughtworks.dsl:keywords-yield_sjs0.6_2.12;com.thoughtworks.dsl;keywords-yield_sjs0.6_2.12
com.thoughtworks.dsl:comprehension_sjs0.6_2.12;com.thoughtworks.dsl;comprehension_sjs0.6_2.12
com.thoughtworks.dsl:domains-scalaz_sjs0.6_2.12;com.thoughtworks.dsl;domains-scalaz_sjs0.6_2.12
com.thoughtworks.dsl:domains-task_sjs0.6_2.12;com.thoughtworks.dsl;domains-task_sjs0.6_2.12
com.thoughtworks.dsl:dsl_sjs0.6_2.12;com.thoughtworks.dsl;dsl_sjs0.6_2.12
com.thoughtworks.dsl:keywords-await_sjs0.6_2.12;com.thoughtworks.dsl;keywords-await_sjs0.6_2.12
com.thoughtworks.dsl:keywords-flatmap_sjs0.6_2.12;com.thoughtworks.dsl;keywords-flatmap_sjs0.6_2.12
com.thoughtworks.dsl:keywords-fork_sjs0.6_2.12;com.thoughtworks.dsl;keywords-fork_sjs0.6_2.12
com.thoughtworks.dsl:keywords-map_sjs0.6_2.12;com.thoughtworks.dsl;keywords-map_sjs0.6_2.12
com.thoughtworks.dsl:keywords-monadic_sjs0.6_2.13;com.thoughtworks.dsl;keywords-monadic_sjs0.6_2.13
com.thoughtworks.dsl:keywords-nonesafe_sjs0.6_2.12;com.thoughtworks.dsl;keywords-nonesafe_sjs0.6_2.12
com.thoughtworks.dsl:keywords-return_sjs0.6_2.13;com.thoughtworks.dsl;keywords-return_sjs0.6_2.13
com.thoughtworks.dsl:keywords-using_sjs0.6_2.12;com.thoughtworks.dsl;keywords-using_sjs0.6_2.12
com.thoughtworks.dsl:keywords-using_sjs0.6_2.13;com.thoughtworks.dsl;keywords-using_sjs0.6_2.13
com.thoughtworks.dsl:domains-scalaz_sjs0.6_2.13;com.thoughtworks.dsl;domains-scalaz_sjs0.6_2.13
com.thoughtworks.dsl:domains-task_sjs0.6_2.13;com.thoughtworks.dsl;domains-task_sjs0.6_2.13
com.thoughtworks.dsl:keywords-continue_sjs0.6_2.13;com.thoughtworks.dsl;keywords-continue_sjs0.6_2.13
com.thoughtworks.dsl:keywords-nullsafe_sjs0.6_2.12;com.thoughtworks.dsl;keywords-nullsafe_sjs0.6_2.12
com.thoughtworks.dsl:dsl_sjs0.6_2.13;com.thoughtworks.dsl;dsl_sjs0.6_2.13
com.thoughtworks.dsl:keywords-foreach_sjs0.6_2.13;com.thoughtworks.dsl;keywords-foreach_sjs0.6_2.13
com.thoughtworks.dsl:keywords-get_sjs0.6_2.13;com.thoughtworks.dsl;keywords-get_sjs0.6_2.13
com.thoughtworks.dsl:comprehension_sjs0.6_2.13;com.thoughtworks.dsl;comprehension_sjs0.6_2.13
com.thoughtworks.dsl:keywords-shift_sjs0.6_2.13;com.thoughtworks.dsl;keywords-shift_sjs0.6_2.13
com.thoughtworks.dsl:keywords-withfilter_sjs0.6_2.13;com.thoughtworks.dsl;keywords-withfilter_sjs0.6_2.13
com.thoughtworks.dsl:keywords-fork_sjs0.6_2.13;com.thoughtworks.dsl;keywords-fork_sjs0.6_2.13
com.thoughtworks.dsl:keywords-put_sjs0.6_2.13;com.thoughtworks.dsl;keywords-put_sjs0.6_2.13
com.thoughtworks.dsl:keywords-each_sjs0.6_2.13;com.thoughtworks.dsl;keywords-each_sjs0.6_2.13
com.thoughtworks.dsl:compilerplugins-bangnotation_2.12;com.thoughtworks.dsl;compilerplugins-bangnotation_2.12
com.thoughtworks.dsl:domains-scalaz_sjs1_2.12;com.thoughtworks.dsl;domains-scalaz_sjs1_2.12
com.thoughtworks.dsl:keywords-await_sjs1_2.12;com.thoughtworks.dsl;keywords-await_sjs1_2.12
com.thoughtworks.dsl:keywords-foreach_2.12;com.thoughtworks.dsl;keywords-foreach_2.12
com.thoughtworks.dsl:keywords-fork_sjs1_2.12;com.thoughtworks.dsl;keywords-fork_sjs1_2.12
com.thoughtworks.dsl:keywords-get_sjs1_2.12;com.thoughtworks.dsl;keywords-get_sjs1_2.12
com.thoughtworks.dsl:keywords-nonesafe_2.12;com.thoughtworks.dsl;keywords-nonesafe_2.12
com.thoughtworks.dsl:keywords-nullsafe_sjs1_2.12;com.thoughtworks.dsl;keywords-nullsafe_sjs1_2.12
com.thoughtworks.dsl:keywords-put_sjs1_2.12;com.thoughtworks.dsl;keywords-put_sjs1_2.12
com.thoughtworks.dsl:keywords-return_sjs1_2.12;com.thoughtworks.dsl;keywords-return_sjs1_2.12
com.thoughtworks.dsl:keywords-using_2.12;com.thoughtworks.dsl;keywords-using_2.12
com.thoughtworks.dsl:keywords-withfilter_2.12;com.thoughtworks.dsl;keywords-withfilter_2.12
com.thoughtworks.dsl:comprehension_sjs1_2.12;com.thoughtworks.dsl;comprehension_sjs1_2.12
com.thoughtworks.dsl:domains-task_sjs1_2.12;com.thoughtworks.dsl;domains-task_sjs1_2.12
com.thoughtworks.dsl:dsl_2.12;com.thoughtworks.dsl;dsl_2.12
com.thoughtworks.dsl:keywords-await_2.12;com.thoughtworks.dsl;keywords-await_2.12
com.thoughtworks.dsl:keywords-catch_sjs1_2.12;com.thoughtworks.dsl;keywords-catch_sjs1_2.12
com.thoughtworks.dsl:keywords-continue_sjs1_2.12;com.thoughtworks.dsl;keywords-continue_sjs1_2.12
com.thoughtworks.dsl:keywords-flatmap_sjs1_2.12;com.thoughtworks.dsl;keywords-flatmap_sjs1_2.12
com.thoughtworks.dsl:keywords-foreach_sjs1_2.12;com.thoughtworks.dsl;keywords-foreach_sjs1_2.12
com.thoughtworks.dsl:keywords-get_2.12;com.thoughtworks.dsl;keywords-get_2.12
com.thoughtworks.dsl:keywords-map_sjs1_2.12;com.thoughtworks.dsl;keywords-map_sjs1_2.12
com.thoughtworks.dsl:keywords-monadic_2.12;com.thoughtworks.dsl;keywords-monadic_2.12
com.thoughtworks.dsl:keywords-shift_2.12;com.thoughtworks.dsl;keywords-shift_2.12
com.thoughtworks.dsl:keywords-withfilter_sjs1_2.12;com.thoughtworks.dsl;keywords-withfilter_sjs1_2.12
com.thoughtworks.dsl:keywords-yield_sjs1_2.12;com.thoughtworks.dsl;keywords-yield_sjs1_2.12
com.thoughtworks.dsl:domains-scalaz_2.12;com.thoughtworks.dsl;domains-scalaz_2.12
